Calendar_Date,Algorithmic_Forecast_Value,Lower_Risk_Bound,Upper_Risk_Bound,Underlying_Macro_Trend,Actual_Market_Value
2022-01-01,45184.426535201135,38687.695510930185,51723.11606703926,46530.27021456781,47686.8125
2022-01-02,45208.45379740336,38612.55656247519,51956.84816848363,46410.39880888352,47345.21875
2022-01-03,45371.075826055065,38495.0136045744,51919.22780560134,46290.527403199216,46458.1171875
2022-01-04,45289.21634755544,38772.10293879099,51532.14880957666,46170.655997514914,45897.57421875
2022-01-05,45522.448873767615,38905.358039845916,52208.85625863205,46050.78459183062,43569.00390625
2022-01-06,45294.75886999938,38675.74535541237,52294.15215755247,45930.91318614632,43160.9296875
2022-01-07,45294.65112784151,39339.85688542446,51760.60438496005,45811.041780462016,41557.90234375
2022-01-08,45301.94694350493,39253.51792760521,51800.19203813272,45691.170374777714,41733.94140625
2022-01-09,45407.58931380332,39054.477364654595,51658.068855910526,45571.29896909341,41911.6015625
2022-01-10,45625.2042882036,38775.07143272287,52189.06299683374,45451.42756340912,41821.26171875
2022-01-11,45570.54456975721,38655.857600935684,52177.883846535864,45331.556157724815,42735.85546875
2022-01-12,45802.68163265769,39498.82704953149,51824.49919354783,45211.68475204051,43949.1015625
2022-01-13,45545.77273240401,39085.564852471565,52499.4192643427,45091.81334635622,42591.5703125
2022-01-14,45489.155836422105,38836.287539663295,52331.74210952781,44971.94194067192,43099.69921875
2022-01-15,45414.11763611178,39081.20217593194,52162.13910876483,44852.07053498762,43177.3984375
2022-01-16,45413.65385830543,38717.58021711667,52058.635426438064,44732.19912930332,43113.87890625
2022-01-17,45503.971432852726,39196.26401222931,51813.771466399885,44612.32772361901,42250.55078125
2022-01-18,45303.86039539521,39022.59254725322,51354.833725597826,44492.45631793472,42375.6328125
2022-01-19,45375.80389319004,38709.802440573294,51539.07235453969,44372.584912250415,41744.328125
2022-01-20,44947.65502151175,38820.92098962594,51230.70357147577,44252.71350656611,40680.41796875
2022-01-21,44712.636052752045,38574.21485257853,50473.38630196264,44132.84210088182,36457.31640625
2022-01-22,44456.00786318721,37995.90179230507,51174.59320589257,44012.97069519752,35030.25
2022-01-23,44274.73145394303,37899.92091033099,50941.24627584861,43893.09928951322,36276.8046875
2022-01-24,44188.873760695154,37645.57105363531,50406.47426196297,43773.22788382892,36654.328125
2022-01-25,43820.88815529925,37079.86766434427,50269.6134570169,43653.35647814462,36954.00390625
2022-01-26,43736.64034871445,37261.62002803095,50305.92886302187,43533.485072460324,36852.12109375
2022-01-27,43167.01051888018,36487.89578011977,49766.518140483415,43413.613666776015,37138.234375
2022-01-28,42807.829021608006,36259.41566765578,49231.621324116364,43293.74226109171,37784.33203125
2022-01-29,42446.4949395576,35862.435772503915,48834.40638710359,43173.87085540742,38138.1796875
2022-01-30,42181.60043517025,35360.43297202039,48075.31598884489,43053.99944972312,37917.6015625
2022-01-31,42034.31376694117,35230.29703746886,48312.68132593739,42934.12804403882,38483.125
2022-02-01,41627.65162104891,35345.79489195565,48597.03452023508,42814.25663835452,38743.2734375
2022-02-02,41527.51130084376,34729.85304649041,48250.05567832065,42694.38523267022,36952.984375
2022-02-03,40964.29302783118,34255.75271084133,47169.96707867003,42574.51382698592,37154.6015625
2022-02-04,40632.86876287104,33832.62431699949,47011.361742500936,42454.64242130162,41500.875
2022-02-05,40319.24550849628,33727.705119061626,46506.63951947458,42334.77101561732,41441.1640625
2022-02-06,40120.24446314224,33652.44807414257,46686.94877820412,42214.899609933025,42412.43359375
2022-02-07,40054.94704275514,33618.20994322699,46843.72794285856,42095.028204248716,43840.28515625
2022-02-08,39744.036387307635,33108.44329674618,46908.48247344247,41975.15679856442,44118.4453125
2022-02-09,39750.90273286272,32781.60567969422,45656.42353883444,41855.28539288012,44338.796875
2022-02-10,39303.34067917745,32877.39505030542,45307.78074144146,41735.41398719582,43565.11328125
2022-02-11,39093.59254266956,32650.147805115306,45449.74502696281,41615.54258151152,42407.9375
2022-02-12,38905.0836067229,32099.376828472403,44995.69530221781,41495.67117582722,42244.46875
2022-02-13,38832.16862320063,32526.567716193884,45141.60169650252,41375.79977014293,42197.515625
2022-02-14,38891.638752851984,32889.783018651964,45390.564128744765,41255.928364458625,42586.91796875
2022-02-15,38702.11597405829,32629.949436278253,45040.775627438234,41136.05695877432,44575.203125
